record_id,category,value,timestamp
1,A,51.83,2025-01-10T10:22:47
2,B,226.89,2025-01-10T02:34:17
3,A,128.19,2025-01-08T08:28:11
4,B,135.35,2025-01-07T19:11:16
5,C,334.94,2024-12-16T07:35:41
6,B,475.81,2024-12-20T11:56:24
7,B,140.76,2025-01-07T06:24:53
8,D,477.04,2025-01-11T18:31:31
9,C,244.01,2024-12-29T05:30:51
10,B,133.6,2024-12-25T11:02:59
11,D,181.78,2024-12-31T19:42:51
12,D,417.96,2025-01-10T12:29:55
13,A,125.29,2025-01-10T07:11:17
14,A,29.33,2025-01-08T15:45:16
15,B,181.85,2024-12-27T19:24:25
16,D,322.75,2024-12-17T18:43:12
17,B,126.36,2025-01-02T20:17:05
18,A,205.82,2025-01-08T13:56:43
19,D,183.1,2024-12-28T19:30:17
20,B,410.66,2025-01-04T02:18:44
21,D,299.59,2024-12-31T12:07:02
22,A,268.35,2025-01-06T11:46:40
23,A,375.64,2025-01-06T06:50:55
24,C,469.82,2024-12-26T15:50:07
25,C,411.53,2025-01-12T00:11:18
26,D,313.23,2024-12-26T23:40:44
27,B,209.3,2025-01-01T14:38:30
28,C,221.02,2025-01-01T02:23:27
29,B,258.87,2024-12-27T09:31:00
30,D,255.31,2024-12-27T22:51:47
31,C,394.86,2025-01-03T02:14:31
32,C,84.74,2024-12-26T17:52:14
33,D,161.44,2024-12-21T15:16:34
34,B,396.86,2024-12-18T17:08:21
35,A,341.97,2024-12-22T20:10:19
36,B,353.62,2025-01-10T16:00:21
37,C,222.59,2024-12-19T15:39:50
38,A,274.03,2025-01-11T22:37:09
39,B,369.69,2025-01-03T09:07:54
40,B,469.27,2025-01-11T22:16:46
41,C,194.66,2024-12-21T17:47:34
42,D,164.66,2024-12-26T15:20:27
43,A,348.52,2024-12-17T20:45:18
44,C,99.42,2025-01-11T00:12:24
45,D,92.62,2025-01-11T21:24:30
46,B,270.52,2024-12-27T03:04:44
47,A,106.92,2024-12-28T15:07:34
48,D,317.73,2024-12-20T10:38:31
49,A,431.1,2024-12-29T08:14:41
50,A,433.54,2025-01-06T03:01:44
51,B,403.47,2025-01-11T07:55:29
52,B,242.21,2025-01-11T07:40:55
53,B,229.78,2025-01-07T01:22:50
54,D,40.38,2025-01-10T08:49:03
55,B,377.0,2025-01-01T08:36:42
56,A,188.32,2024-12-18T04:30:13
57,C,261.42,2025-01-12T03:22:45
58,A,495.08,2024-12-23T04:27:48
59,D,25.35,2025-01-04T08:48:18
60,B,430.18,2025-01-01T19:02:42
61,A,447.88,2024-12-21T06:43:44
62,B,233.12,2024-12-17T07:36:05
63,C,388.05,2024-12-27T01:23:08
64,C,342.47,2025-01-04T09:06:52
65,C,357.17,2025-01-12T17:22:06
66,A,401.21,2024-12-19T06:58:09
67,B,379.22,2025-01-05T23:39:39
68,C,156.0,2024-12-18T14:10:00
69,D,344.84,2025-01-05T18:50:29
70,C,377.68,2024-12-21T03:01:36
71,C,179.53,2024-12-18T22:19:34
72,B,144.23,2024-12-16T11:14:59
73,A,324.76,2024-12-28T00:01:54
74,A,253.45,2025-01-09T21:04:49
75,D,237.96,2024-12-28T12:38:34
76,C,124.08,2024-12-29T21:12:59
77,D,447.7,2024-12-24T13:56:20
78,B,258.31,2025-01-14T08:53:14
79,B,219.03,2025-01-09T14:06:35
80,C,87.81,2025-01-01T06:45:49
81,A,20.38,2024-12-22T16:54:38
82,C,163.85,2025-01-10T19:02:56
83,A,29.59,2025-01-05T20:36:22
84,C,352.33,2024-12-17T21:29:57
85,D,95.65,2024-12-17T18:36:44
86,C,320.8,2025-01-03T13:57:55
87,B,288.21,2025-01-03T13:00:53
88,C,446.9,2024-12-23T00:45:31
89,B,236.09,2025-01-07T00:15:46
90,B,48.36,2025-01-09T15:39:12
91,A,362.43,2024-12-30T04:56:56
92,C,46.69,2025-01-14T05:38:58
93,B,385.52,2025-01-01T00:19:14
94,C,46.78,2024-12-18T10:42:36
95,D,267.03,2025-01-01T00:13:23
96,C,105.78,2024-12-16T23:26:29
97,A,313.81,2024-12-28T09:44:52
98,C,252.45,2024-12-24T01:42:09
99,B,163.19,2024-12-21T23:58:57
100,D,180.4,2024-12-26T16:41:53
101,B,353.33,2024-12-29T06:36:01
102,C,91.49,2025-01-08T11:53:27
103,A,336.26,2024-12-29T18:45:15
104,D,71.64,2025-01-14T22:32:40
105,C,434.53,2025-01-12T20:02:31
106,D,320.14,2024-12-27T15:42:18
107,D,351.21,2025-01-14T22:04:16
108,D,309.9,2024-12-28T09:53:33
109,C,455.01,2024-12-28T06:56:12
110,D,154.09,2024-12-29T05:46:05
111,A,174.7,2025-01-09T05:41:46
112,C,85.85,2024-12-24T16:21:04
113,D,333.01,2024-12-31T01:54:21
114,C,45.54,2025-01-04T04:15:23
115,D,342.25,2024-12-27T19:46:17
116,C,174.06,2025-01-12T22:35:30
117,A,252.75,2025-01-11T09:03:33
118,B,120.97,2024-12-27T06:03:08
119,A,319.41,2024-12-17T18:15:49
120,A,31.77,2025-01-11T07:32:07
121,C,98.77,2025-01-04T21:36:27
122,A,240.14,2025-01-07T10:45:44
123,D,153.64,2024-12-18T23:58:04
124,D,313.7,2024-12-22T04:19:56
125,C,421.42,2024-12-17T18:33:32
126,D,233.06,2024-12-20T08:49:35
127,B,58.51,2024-12-18T03:33:45
128,A,20.73,2024-12-21T14:34:31
129,A,270.11,2024-12-17T07:46:57
130,C,209.18,2024-12-29T22:16:53
131,A,347.22,2025-01-11T19:20:24
132,B,243.27,2024-12-27T11:29:07
133,B,206.36,2025-01-03T10:13:56
134,A,273.5,2025-01-04T08:33:55
135,C,200.62,2024-12-28T03:24:49
136,A,255.53,2025-01-06T04:00:08
137,C,459.16,2025-01-07T11:09:16
138,A,227.09,2025-01-08T09:32:34
139,C,46.69,2024-12-20T09:03:43
140,B,423.24,2025-01-10T13:38:27
141,A,338.64,2025-01-01T21:07:47
142,C,198.73,2024-12-28T14:44:02
143,C,390.55,2024-12-16T10:14:56
144,D,215.07,2025-01-05T04:08:29
145,C,89.34,2024-12-22T23:51:45
146,A,36.99,2024-12-17T01:02:22
